Continent,Region,Country,Criminality,Criminal markets,Human trafficking,Human smuggling,Arms trafficking,Flora crimes,Fauna crimes,Non-renewable resource crimes,Heroin trade,Cocaine trade,Cannabis trade,Synthetic drug trade,Criminal actors,Mafia-style groups,Criminal networks,State-embedded actors,Foreign actors,Resilience,Political leadership and governance,Government transparency and accountability,International cooperation,National policies and laws,Judicial system and detention,Law enforcement,Territorial integrity,Anti-money laundering,Economic regulatory capacity,Victim and witness support,Prevention,Non-state actors
Africa,Southern Africa,Madagascar,5.59,5.30,6.00,3.00,4.50,7.50,7.00,7.50,7.00,2.50,6.00,2.00,5.88,4.00,5.00,7.50,7.00,3.38,4.00,2.00,3.00,4.00,3.00,3.50,5.00,5.00,2.00,2.00,4.00,3.00
Asia,Western Asia,Israel,4.41,4.20,5.50,2.50,5.50,1.50,2.00,5.50,3.00,4.50,6.50,5.50,4.63,5.50,4.00,5.00,4.00,6.00,6.00,5.00,6.00,7.00,5.00,5.50,3.50,7.00,7.00,6.00,6.00,8.00
Europe,Western Europe,Belgium,4.34,5.05,5.00,5.50,5.50,2.50,3.50,3.00,4.00,7.50,6.50,7.50,3.63,3.00,4.50,2.00,5.00,7.00,7.00,7.00,8.00,7.00,6.00,7.00,6.00,7.00,7.00,7.50,6.50,8.00
Asia,Western Asia,Qatar,5.21,5.80,8.00,6.00,6.50,5.00,6.50,5.00,4.50,4.00,6.00,6.50,4.63,1.00,6.00,6.00,5.50,5.58,5.00,5.50,5.50,5.00,5.00,5.50,7.00,6.00,6.00,6.00,6.00,4.50
Americas,Central America,Honduras,6.98,5.70,6.50,6.50,6.00,7.00,6.00,5.00,2.00,7.50,7.50,3.00,8.25,8.50,8.00,8.50,8.00,3.92,2.50,3.50,5.50,4.00,3.00,4.50,4.50,4.00,3.50,3.00,4.50,4.50
Africa,Southern Africa,Mozambique,6.53,6.05,4.00,5.00,5.50,8.00,8.00,8.00,7.50,3.50,4.00,7.00,7.00,3.50,8.00,9.00,7.50,3.29,3.00,3.50,5.00,5.50,2.00,2.00,3.50,3.00,4.00,3.00,2.00,3.00
Europe,Western Europe,Germany,4.90,4.80,5.50,7.00,6.00,1.50,3.50,2.50,4.50,6.50,5.00,6.00,5.00,5.00,6.50,2.00,6.50,7.67,7.00,7.50,8.00,8.00,7.50,7.50,9.00,6.50,7.00,8.00,8.00,8.00
Europe,Western Europe,United Kingdom,4.89,4.40,6.00,5.00,3.50,2.50,4.00,2.00,4.50,6.50,4.50,5.50,5.38,4.00,6.50,3.00,8.00,7.88,8.00,7.50,8.00,8.50,8.50,7.50,8.50,6.50,7.50,7.50,7.50,9.00
Europe,Western Europe,Austria,4.04,3.95,4.50,5.00,6.50,2.00,2.50,2.00,4.50,3.50,4.50,4.50,4.13,2.00,4.00,4.00,6.50,7.42,7.00,6.50,7.00,8.00,8.00,8.50,8.00,6.00,7.00,8.00,8.00,7.00
Africa,Central Africa,"Congo, Rep.",5.03,4.80,6.50,4.50,5.00,8.00,7.00,3.50,2.50,5.00,4.00,2.00,5.25,3.00,6.00,8.00,4.00,3.25,3.00,1.50,5.00,5.00,2.00,4.50,3.00,3.00,3.00,2.00,4.00,3.00
